baseline,language,taskset,execution,platform,seq_rand,nrow,time
FlatBufCPP,CPP,false,Total,Single,Sequential,5000000,96575
FlatBufCPP,CPP,true,Total,Single,Sequential,5000000,101523
FlatBufCPP,CPP,false,Total,Parallel,Sequential,5000000,23958
JsonRust,Rust,false,CPU,Single,Sequential,5000000,108739
JsonRust,Rust,true,CPU,Single,Sequential,5000000,102109
JsonRust,Rust,false,CPU,Parallel,Sequential,5000000,20636
JsonRust,Rust,false,Total,Single,Sequential,5000000,155345
JsonRust,Rust,true,Total,Single,Sequential,5000000,174900
JsonRust,Rust,false,Total,Parallel,Sequential,5000000,24817
BincodeRust,Rust,false,CPU,Single,Sequential,5000000,74802
BincodeRust,Rust,true,CPU,Single,Sequential,5000000,72552
BincodeRust,Rust,false,CPU,Parallel,Sequential,5000000,20335
BincodeRust,Rust,false,Total,Single,Sequential,5000000,106078
BincodeRust,Rust,true,Total,Single,Sequential,5000000,104322
BincodeRust,Rust,false,Total,Parallel,Sequential,5000000,20280
MessagePackRust,Rust,false,CPU,Single,Sequential,5000000,81885
MessagePackRust,Rust,true,CPU,Single,Sequential,5000000,79800
MessagePackRust,Rust,false,CPU,Parallel,Sequential,5000000,20714
MessagePackRust,Rust,false,Total,Single,Sequential,5000000,99441
MessagePackRust,Rust,true,Total,Single,Sequential,5000000,107879
MessagePackRust,Rust,false,Total,Parallel,Sequential,5000000,20283
BsonRust,Rust,false,CPU,Single,Sequential,5000000,288361
BsonRust,Rust,true,CPU,Single,Sequential,5000000,286408
BsonRust,Rust,false,CPU,Parallel,Sequential,5000000,21180
BsonRust,Rust,false,Total,Single,Sequential,5000000,327315
BsonRust,Rust,true,Total,Single,Sequential,5000000,337437
BsonRust,Rust,false,Total,Parallel,Sequential,5000000,23107
FlexBufRust,Rust,false,CPU,Single,Sequential,5000000,197083
FlexBufRust,Rust,true,CPU,Single,Sequential,5000000,189936
FlexBufRust,Rust,false,CPU,Parallel,Sequential,5000000,20511
FlexBufRust,Rust,false,Total,Single,Sequential,5000000,230264
FlexBufRust,Rust,true,Total,Single,Sequential,5000000,245018
FlexBufRust,Rust,false,Total,Parallel,Sequential,5000000,22595
DefaultJava,Java,false,CPU,Single,Sequential,5000000,263678
DefaultJava,Java,true,CPU,Single,Sequential,5000000,258913
DefaultJava,Java,false,CPU,Parallel,Sequential,5000000,38175
DefaultJava,Java,false,Total,Single,Sequential,5000000,292970
DefaultJava,Java,true,Total,Single,Sequential,5000000,291588
DefaultJava,Java,false,Total,Parallel,Sequential,5000000,51794
Json+GzipJava,Java,false,CPU,Single,Sequential,5000000,947963
Json+GzipJava,Java,true,CPU,Single,Sequential,5000000,940538
Json+GzipJava,Java,false,CPU,Parallel,Sequential,5000000,255935
Json+GzipJava,Java,false,Total,Single,Sequential,5000000,949950
Json+GzipJava,Java,true,Total,Single,Sequential,5000000,928914
Json+GzipJava,Java,false,Total,Parallel,Sequential,5000000,285895
BsonJava,Java,false,CPU,Single,Sequential,5000000,275444
BsonJava,Java,true,CPU,Single,Sequential,5000000,342136
BsonJava,Java,false,CPU,Parallel,Sequential,5000000,38455
BsonJava,Java,false,Total,Single,Sequential,5000000,319795
BsonJava,Java,true,Total,Single,Sequential,5000000,374980
BsonJava,Java,false,Total,Parallel,Sequential,5000000,54531
ProtoBufJava,Java,false,CPU,Single,Sequential,5000000,122549
ProtoBufJava,Java,true,CPU,Single,Sequential,5000000,120689
ProtoBufJava,Java,false,CPU,Parallel,Sequential,5000000,33090
ProtoBufJava,Java,false,Total,Single,Sequential,5000000,140649
ProtoBufJava,Java,true,Total,Single,Sequential,5000000,136562
ProtoBufJava,Java,false,Total,Parallel,Sequential,5000000,34011
KryoJava,Java,false,CPU,Single,Sequential,5000000,116956
KryoJava,Java,true,CPU,Single,Sequential,5000000,123263
KryoJava,Java,false,CPU,Parallel,Sequential,5000000,33521
KryoJava,Java,false,Total,Single,Sequential,5000000,150679
KryoJava,Java,true,Total,Single,Sequential,5000000,141678
KryoJava,Java,false,Total,Parallel,Sequential,5000000,35587
ByteBufferJava,Java,false,CPU,Single,Sequential,5000000,108973
ByteBufferJava,Java,true,CPU,Single,Sequential,5000000,108511
ByteBufferJava,Java,false,CPU,Parallel,Sequential,5000000,32510
ByteBufferJava,Java,false,Total,Single,Sequential,5000000,125757
ByteBufferJava,Java,true,Total,Single,Sequential,5000000,129642
ByteBufferJava,Java,false,Total,Parallel,Sequential,5000000,33316
JsonJava,Java,false,CPU,Single,Sequential,5000000,567982
JsonJava,Java,true,CPU,Single,Sequential,5000000,545254
JsonJava,Java,false,CPU,Parallel,Sequential,5000000,242363
JsonJava,Java,false,Total,Single,Sequential,5000000,582324
JsonJava,Java,true,Total,Single,Sequential,5000000,561384
JsonJava,Java,false,Total,Parallel,Sequential,5000000,278279
FlatBuffersJava,Java,false,CPU,Single,Sequential,5000000,130622
FlatBuffersJava,Java,true,CPU,Single,Sequential,5000000,151860
FlatBuffersJava,Java,false,CPU,Parallel,Sequential,5000000,33359
FlatBuffersJava,Java,false,Total,Single,Sequential,5000000,162834
FlatBuffersJava,Java,true,Total,Single,Sequential,5000000,156805
FlatBuffersJava,Java,false,Total,Parallel,Sequential,5000000,36060
HandcodedCPP,CPP,false,CPU,Single,Sequential,5000000,53476
HandcodedCPP,CPP,true,CPU,Single,Sequential,5000000,49149
HandcodedCPP,CPP,false,CPU,Parallel,Sequential,5000000,23015
HandcodedCPP,CPP,false,Total,Single,Sequential,5000000,71776
HandcodedCPP,CPP,true,Total,Single,Sequential,5000000,71692
HandcodedCPP,CPP,false,Total,Parallel,Sequential,5000000,22827
inPlaceCPP,CPP,false,CPU,Single,Sequential,5000000,51826
inPlaceCPP,CPP,true,CPU,Single,Sequential,5000000,49114
inPlaceCPP,CPP,false,CPU,Parallel,Sequential,5000000,22969
inPlaceCPP,CPP,false,Total,Single,Sequential,5000000,78760
inPlaceCPP,CPP,true,Total,Single,Sequential,5000000,84687
inPlaceCPP,CPP,false,Total,Parallel,Sequential,5000000,23968
BoostCPP,CPP,false,CPU,Single,Sequential,5000000,163259
BoostCPP,CPP,true,CPU,Single,Sequential,5000000,155938
BoostCPP,CPP,false,CPU,Parallel,Sequential,5000000,23736
BoostCPP,CPP,false,Total,Single,Sequential,5000000,174470
BoostCPP,CPP,true,Total,Single,Sequential,5000000,170346
BoostCPP,CPP,false,Total,Parallel,Sequential,5000000,23399
ProtoBufCPP,CPP,false,CPU,Single,Sequential,5000000,71337
ProtoBufCPP,CPP,true,CPU,Single,Sequential,5000000,71467
ProtoBufCPP,CPP,false,CPU,Parallel,Sequential,5000000,23427
ProtoBufCPP,CPP,false,Total,Single,Sequential,5000000,92376
ProtoBufCPP,CPP,true,Total,Single,Sequential,5000000,91000
ProtoBufCPP,CPP,false,Total,Parallel,Sequential,5000000,23948
BsonCPP,CPP,false,CPU,Single,Sequential,5000000,892834
BsonCPP,CPP,true,CPU,Single,Sequential,5000000,878103
BsonCPP,CPP,false,CPU,Parallel,Sequential,5000000,46305
BsonCPP,CPP,false,Total,Single,Sequential,5000000,941852
BsonCPP,CPP,true,Total,Single,Sequential,5000000,902278
BsonCPP,CPP,false,Total,Parallel,Sequential,5000000,47878
FlatBufCPP,CPP,false,CPU,Single,Sequential,5000000,71028
FlatBufCPP,CPP,true,CPU,Single,Sequential,5000000,69591
FlatBufCPP,CPP,false,CPU,Parallel,Sequential,5000000,23377
FlatBufCPP,CPP,false,Total,Single,Sequential,5000000,99291
FlatBufCPP,CPP,true,Total,Single,Sequential,5000000,98922
FlatBufCPP,CPP,false,Total,Parallel,Sequential,5000000,24005
JsonRust,Rust,false,CPU,Single,Sequential,5000000,105024
JsonRust,Rust,true,CPU,Single,Sequential,5000000,101939
JsonRust,Rust,false,CPU,Parallel,Sequential,5000000,20648
JsonRust,Rust,false,Total,Single,Sequential,5000000,151327
JsonRust,Rust,true,Total,Single,Sequential,5000000,172419
JsonRust,Rust,false,Total,Parallel,Sequential,5000000,24089
BincodeRust,Rust,false,CPU,Single,Sequential,5000000,78057
BincodeRust,Rust,true,CPU,Single,Sequential,5000000,72493
BincodeRust,Rust,false,CPU,Parallel,Sequential,5000000,20276
BincodeRust,Rust,false,Total,Single,Sequential,5000000,107687
BincodeRust,Rust,true,Total,Single,Sequential,5000000,109058
BincodeRust,Rust,false,Total,Parallel,Sequential,5000000,20199
MessagePackRust,Rust,false,CPU,Single,Sequential,5000000,83963
MessagePackRust,Rust,true,CPU,Single,Sequential,5000000,79543
MessagePackRust,Rust,false,CPU,Parallel,Sequential,5000000,20619
MessagePackRust,Rust,false,Total,Single,Sequential,5000000,100956
MessagePackRust,Rust,true,Total,Single,Sequential,5000000,108949
MessagePackRust,Rust,false,Total,Parallel,Sequential,5000000,20554
BsonRust,Rust,false,CPU,Single,Sequential,5000000,289388
BsonRust,Rust,true,CPU,Single,Sequential,5000000,286849
BsonRust,Rust,false,CPU,Parallel,Sequential,5000000,21547
BsonRust,Rust,false,Total,Single,Sequential,5000000,320076
